MUNM1113,UCOL1002,HIST1483,MATH1503,ANTH1823,HIST1483B,.
ENGL1113,AHS 1400,MATH1743,UCOL1002,BIOL1114,BIOL1121,.
ENGL1213,DRAM1713,CHEM1315,MATH1914,ENGR1411,DRAM1713B,MATH1914B
ENGL1113,AHS 1400,MATH1503,BIOL1114,BIOL1121,.,.
CHEM1315,AHS 1400,MUNM1113,AFAM2003,CHEM1315B,.,.
ENGL1113,MATH1643,IPE 1013,JMC 1013,UCOL1002,AFAM2003,MUNM2313
ENGL1113,HES 1221,SOC 1113,BIOL1114,BIOL1121,.,.
ENGL1113,MATH1523,UCOL1002,CHEM1315,CHEM1315B,.,.
ENGL1113,MATH2423,MUNM1113,CHEM1315,ENGR1411,CHEM1315B,ENGR1411B
ENGL1113,MUNM1113,P SC1113,UNIV1210,MATH2934,MUNM2970,P SC1113B
CHEM1315,ENGL1113,ENGR1411,MATH2924,CHEM1315B,MATH2924B,ENGR1411B
GEOG1103,UCOL1002,PHIL1113,SOC 1113,ENGL1113,GEOG1103B,.
CHEM1315,ENGL1113,AHS 1400,MATH1743,MUNM1743,CHEM1315B,.
COMM1113,ENGL1113,MATH1643,UCOL1002,GEOG1213,UCOL1022,COMM1113B
ENGL1113,HES 1221,AHS 1400,MUNM1113,BIOL1114,BIOL1121,PSY 1113
CHEM1315,A HI1113,MATH1503,UCOL1002,CHEM1315B,.,.
COMM1113,ECON1123,ENGL1113,MATH1643,P SC1113,ECON1123B,COMM1113B
GEOL1003,MATH1643,ANTH1113,FMS 1013,METR1014,METR1014B,.
DRAM1713,MATH2423,SOC 1113,CHEM1315,LSTD1153,DRAM1713B,CHEM1315B
CHEM1315,MUNM1022,MATH1523,PSY 1113,CHEM1315B,.,.
CHEM1315,HIST1493,MATH1523,PSY 1113,ENGR1411,CHEM1315B,HIST1493B
CHEM1315,A HI1113,EXPO1213,ENGR1411,MATH1914,CHEM1315B,MATH1914B
MATH1643,SPAN1115,PSY 1113,BIOL1124,BIOL1124B,.,.
